,,,,,,,,,,,,,,,,,,,,,,,,
,Symbol,JBLU,,"=IFERROR(__xludf.dummyfunction(""googlefinance(C2, """"name"""")""),""JetBlue Airways Corp"")",,,,,,,,,,,,,,,Overall Profit:   ,,,=B16,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Current Stock Price,,,Option Information,,,,,,,,,,,,,,,Stock Information,,,,,
,"=IFERROR(__xludf.dummyfunction(""googlefinance(C2,""""price"""")""),4.33)",,,Opened, C / P , Buy/Sell ,Expiration, Strike , QTY , Price ,Credit, Closed/Expired/Rolled ,Date Closed,Closing Cost,Debit,Profit,Days Held,,Date, Assigned/Call , Buy/Sell ,Shares, Cost , Invested 
,,,,08/01/2025, Call , Sell ,08/15/2025,$4.50,2,$0.15,"=IF(E7="""","""",IF(AND(F7=""Stock"",G7=""Buy""),(100*((J7*K7)*-1)),IF(AND(F7=""Call"",G7=""Buy""),(100*((J7*K7)*-1)),IF(AND(F7=""PUT"",G7=""Buy""),(100*((J7*K7)*-1)),100*(J7*K7)))))",,,,"=IF(E7="""","""",IF(AND(F7=""Stock"",G7=""Buy""),(100*((J7*O7)*1)),IF(AND(F7=""Call"",G7=""Buy""),(100*((J7*O7)*1)),IF(AND(F7=""PUT"",G7=""Buy""),(100*((J7*O7)*1)),(100*(J7*O7))*-1))))","=IF(L7="""","""",L7+P7)","=IF(AND(E7="""",N7=""""),"""",IF(N7="""",TODAY()-E7,N7-E7))",,08/01/2025,, Buy ,200,$4.33,"=IF(W7="""","""",(W7*X7)*-1)"
,,,,,,,,,,,"=IF(E8="""","""",IF(AND(F8=""Stock"",G8=""Buy""),(100*((J8*K8)*-1)),IF(AND(F8=""Call"",G8=""Buy""),(100*((J8*K8)*-1)),IF(AND(F8=""PUT"",G8=""Buy""),(100*((J8*K8)*-1)),100*(J8*K8)))))",,,,"=IF(E8="""","""",IF(AND(F8=""Stock"",G8=""Buy""),(100*((J8*O8)*1)),IF(AND(F8=""Call"",G8=""Buy""),(100*((J8*O8)*1)),IF(AND(F8=""PUT"",G8=""Buy""),(100*((J8*O8)*1)),(100*(J8*O8))*-1))))","=IF(L8="""","""",L8+P8)","=IF(AND(E8="""",N8=""""),"""",IF(N8="""",TODAY()-E8,N8-E8))",,08/08/2025,, Buy ,7,$4.35,"=IF(W8="""","""",(W8*X8)*-1)"
,Investment,Current Value,,,,,,,,,"=IF(E9="""","""",IF(AND(F9=""Stock"",G9=""Buy""),(100*((J9*K9)*-1)),IF(AND(F9=""Call"",G9=""Buy""),(100*((J9*K9)*-1)),IF(AND(F9=""PUT"",G9=""Buy""),(100*((J9*K9)*-1)),100*(J9*K9)))))",,,,"=IF(E9="""","""",IF(AND(F9=""Stock"",G9=""Buy""),(100*((J9*O9)*1)),IF(AND(F9=""Call"",G9=""Buy""),(100*((J9*O9)*1)),IF(AND(F9=""PUT"",G9=""Buy""),(100*((J9*O9)*1)),(100*(J9*O9))*-1))))","=IF(L9="""","""",L9+P9)","=IF(AND(E9="""",N9=""""),"""",IF(N9="""",TODAY()-E9,N9-E9))",,,,,,,"=IF(W9="""","""",(W9*X9)*-1)"
,"=IF(W7="""",0,SUM(Y7:Y32))","=IF(SUM(W7:W24)=0,0,B6*(SUM(W7:W444)))",,,,,,,,,"=IF(E10="""","""",IF(AND(F10=""Stock"",G10=""Buy""),(100*((J10*K10)*-1)),IF(AND(F10=""Call"",G10=""Buy""),(100*((J10*K10)*-1)),IF(AND(F10=""PUT"",G10=""Buy""),(100*((J10*K10)*-1)),100*(J10*K10)))))",,,,"=IF(E10="""","""",IF(AND(F10=""Stock"",G10=""Buy""),(100*((J10*O10)*1)),IF(AND(F10=""Call"",G10=""Buy""),(100*((J10*O10)*1)),IF(AND(F10=""PUT"",G10=""Buy""),(100*((J10*O10)*1)),(100*(J10*O10))*-1))))","=IF(L10="""","""",L10+P10)","=IF(AND(E10="""",N10=""""),"""",IF(N10="""",TODAY()-E10,N10-E10))",,,,,,,"=IF(W10="""","""",(W10*X10)*-1)"
,,,,,,,,,,,"=IF(E11="""","""",IF(AND(F11=""Stock"",G11=""Buy""),(100*((J11*K11)*-1)),IF(AND(F11=""Call"",G11=""Buy""),(100*((J11*K11)*-1)),IF(AND(F11=""PUT"",G11=""Buy""),(100*((J11*K11)*-1)),100*(J11*K11)))))",,,,"=IF(E11="""","""",IF(AND(F11=""Stock"",G11=""Buy""),(100*((J11*O11)*1)),IF(AND(F11=""Call"",G11=""Buy""),(100*((J11*O11)*1)),IF(AND(F11=""PUT"",G11=""Buy""),(100*((J11*O11)*1)),(100*(J11*O11))*-1))))","=IF(L11="""","""",L11+P11)","=IF(AND(E11="""",N11=""""),"""",IF(N11="""",TODAY()-E11,N11-E11))",,,,,,,"=IF(W11="""","""",(W11*X11)*-1)"
